ref-01-01|Buyer Asha, 35, Kota; proposed purchase date 10 Sep 2026; no existing insurance; intended insured initially unknown; priority is suitable first cover.|Who will be insured, and what annual budget can you afford?|Only me; budget INR 15000/year. No regular medicines reported; no detailed proposal completed.|Record Asha as sole intended insured only after confirmation. Request exact age reference/DOB and relevant disclosures before applying original eligibility. Kota and budget cannot establish a product, premium or network. Keep New India AS and other discovered indemnity products as uncertain candidates, not an accepted shortlist.|N1,N9,I6|A personal quote, material disclosure details and applicable original configurations are absent. No named product recommendation is established.
ref-01-02|Buyer-insured Asha, 35, Kota; annual budget INR 8000; accessible emergency cash INR 10000; wants an affordable cashless admission.|Can the budget cover both premium and compulsory out-of-pocket amounts, and which hospital branch matters?|Budget is only premium; I cannot advance a large bill. Hospital branch is not decided.|Affordability has two constraints. New India AS has a 5% admissible-claim co-pay; a stipulated INR 300000 admissible amount would require INR 15000 co-pay, already above stated cash, before exclusions. A low premium alone fails to establish affordability or cashless access. Obtain dated personal quotes and an exact provider branch; retain funding gap as material.|N31,I23,S23|No personal price or branch authorization evidence. The numerical co-pay illustration assumes otherwise admissible expenses and is not a payment decision.
ref-01-03|Buyer-insured Asha, 35; accessible savings INR 300000; no base policy; wants catastrophic inpatient protection rather than reimbursement of small bills.|Would two separate admissible bills of INR 200000 and INR 250000 be manageable, or only one large admission?|Both could occur in one year; savings cap is 300000. Compare threshold patterns before discussing prices.|Under stipulated Star thresholds of INR 300000, two admissions yield Silver excess 0 and Gold aggregate excess 150000; one INR 450000 admission exceeds either threshold by 150000. Threshold type materially changes protection. Savings are an asset, not proof of underwriting acceptance, credited waits or network access.|S2,S3,S13,S14|Quotes, issuance conditions without base cover and full candidate comparison are not supplied; restrict the answer to illustrated risk structure.
ref-01-04|Buyer-insured Asha, 35; treating specialist Dr Q at Hospital Q, Kota branch; consultation continuity is non-negotiable; has no chosen policy.|Which exact branch and specialist must remain accessible, and do you need cashless treatment?|Hospital Q, Kota branch, Dr Q; cashless is essential. I have only a hospital-name search hit.|A name hit cannot confirm the branch, doctor availability, selected network option or authorization. Retain four dated observations separately. The regulator's network-display requirement and Star's cashless/reimbursement distinction do not prove this specific access. Compare only after branch-specific evidence and product conditions are supplied.|I31,S23,S20|Exact-branch network/exclusion list, specialist participation and authorization terms are absent; do not exclude unrelated candidates merely because evidence is missing.
ref-01-05|Buyer-insured Asha, 35; compares base SI INR 500000 with a product advertising recharge; cares about one INR 800000 admission and later admissions; no quote supplied.|Must extra cover support the same admission, and is the proposed treatment a modern procedure?|Yes, same admission; robotic surgery is possible. I had assumed recharge always applied.|Star Gold III.L permits same-admission recharge but expressly excludes modern treatments; its V.23 exhaustion wording needs precedence review. A headline recharge amount is therefore not equivalent to higher first-claim SI. Preserve the procedure classification, trigger, per-period amount and unresolved precedence instead of recommending from a total-cover headline.|S12,S31|Exact comparative product/quotes and recharge/exhaustion interpretation remain unresolved. No unsupported restoration amount is calculated.
ref-01-06|Buyer-insured Asha, 35, freelancer; active hypothetical Star Gold term 1 Jan-31 Dec 2026; quarterly instalment due 1 Jul; paid 20 Jul; admission 10 Jul.|Was the missed payment an annual renewal or an instalment during the active term?|Quarterly instalment within the year; I also want to understand unpaid future instalments if a claim happens.|Under Star V.12 the 30-day quarterly grace and within-term cover differ from annual renewal grace. A claim accelerates later instalments and allows recovery from payment. Record premium debt separately from medical co-pay/deductible; payment 19 days after due does not by itself establish a gap. Actual claim eligibility still depends on accepted terms and admissibility.|S27,S28,S29,P3,P4|Issued schedule, premium receipts and any amendment needed for actual claim decision; the within-term fixture supports only the stated distinction.
ref-01-07|Buyer-insured Asha, 35; quote A has room cap; quote B says unrestricted room; SI assumed INR 100000; actual room INR 4000/day; premium difference unknown.|Does the cap affect other hospital charges, and what does the second quote actually include?|A is New India AS; B is a summary only. Surgeon bill INR 80000 and medicines INR 20000, three room days.|The New India original caps room at INR 2000/day for this SI and proportionately reduces other expenses except medicines. The preserved illustration yields INR 62700 after 5% co-pay under explicit admissibility assumptions. B cannot be treated as deduction-free from the word unrestricted: its full room-category and other terms are missing. Compare the same bill and annual price.|N10,N13,N31|Full second wording, both personal quotes and all accepted bill conditions are missing; retain conditional amount rather than ranking the offers.
ref-01-08|Buyer-insured Asha, 35; residence Jaipur until 30 Jun 2027; planned move to Mumbai 1 Jul 2027 uncertain; purchase 10 Sep 2026; treatment city unknown.|Is the move confirmed, and does either product use residence or hospital location for pricing and treatment rules?|Move is likely but not certain; I do not have the zone clause or revised price.|Store a future uncertain residence event without rewriting current Jaipur. Obtain each product's zone definition, notice obligation, effective date and treatment-location co-pay separately. Neither nationwide insurer presence nor India's territorial inclusion proves unchanged pricing or no zone deduction. Current and future comparisons require dated scenarios.|S30,N37,P8|No applicable zone clause or personal quotes; no zone surcharge or backdated repricing may be invented.
ref-01-09|Buyer-insured Asha, 35; can raise annual budget from 15000 to 20000; wants fewer deductions; consumables/room waiver options discussed but none selected.|Which deduction is most important to avoid, and which options appear as selected in the offer?|Nonmedical consumables are my priority; the quote has no option schedule yet.|Separate the customer's preference from option availability and selection. New India lists excluded and package-subsumed items; that does not establish a consumables rider. Retain proposed options as uncertain and request exact rider wording, applicability, premium and accepted selection. Do not remove exclusions from calculations merely because the buyer can pay more.|N17,N37,I7|No source-backed matching rider or accepted selection/price; suitability and final cost comparison remain unresolved.
ref-01-10|Buyer-insured Asha, 35; online summary shows base premium INR 14000 and an add-on toggle whose state is unclear; checkout date 10 Sep 2026.|Can you provide the selected benefit list and the final quote breakup rather than the marketing page?|The benefit page mentions an add-on but my quote does not list it. I have not paid or accepted anything.|A marketing benefit and a selected contractual option are different records. Preserve the quote as unaccepted, requested requirements separately, and add-on selection as unknown. Obtain the issued/quoted option identifiers, original rider, cost and validity. No option benefit can change eligibility or payment until it is applicable to that offer.|N9,N37,I7|Final quote, option selection and original rider bundle absent; no purchase or coverage acceptance inferred.
