ref-03-01|partially_resolved|promise12,promise30,yuva19,yuva20|Galaxy Promise provides a conditional newborn route distinct from ordinary entry: plan-specific limits, maternal continuity or Signature scan/underwriting branches, birth intimation and endorsement. Yuva Bharat requires 24 months of maternal continuity and excludes preterm/premature and postnatal care. Neither new original backdates this uninsured 40-day-old baby's requested policy; retain the New India three-month branch.|Mother's existing contracts and continuity, birth/scan records and accepted newborn endorsement.|Promise day-1 newborn benefit versus day-16 midterm inclusion must be selected by route; no retrospective issue exception established.|Represent automatic benefit eligibility and paid midterm member inclusion as different routes with different clocks.
ref-03-02|unchanged||The son is 25, not 26, at renewal. The existing New India bonus/split note remains material; no newly reviewed wording establishes this named contract's exact same-floater continuation or accepted split. Another insurer's child-age rule cannot resolve it.|Renewal offer, selected child membership, separate policy SI and bonus history.|Exact birthday/renewal split applicability and connected conversion conditions remain unresolved.|Preserve age events, membership changes and bonus allocation by resulting policy.
ref-03-03|partially_resolved|promise30|Promise expressly permits midterm inclusion of a legally adopted child for proportionate premium, subject to underwriting, with waits from inclusion. This is a conditional alternative because the fixture does not identify its existing family product; adoption on 15 August is not accepted cover on that date. Existing members' clocks remain separate.|Existing policy identity, adoption proof, request, insurer approval, effective date and premium.|Full applicable addition bundle and any continuity waiver still needed for the actual policy.|Store relationship event, requested membership, accepted membership and person-specific waiting origins separately.
ref-03-04|unchanged|promise12,yuva19,yuva20|Other originals show newborn benefits exist, but neither establishes Leela's pre-existing accepted cover. The named Star Gold newborn exclusion still governs this fixture; an addition requested after NICU treatment does not create prior cover. Yuva's explicit premature-care exclusion also prevents treating every newborn grant as NICU protection.|Any already-existing qualifying maternal contract, baby endorsement and itemized NICU indication.|No original-backed exception to the named Star exclusion or retrospective addition found.|Join newborn expenses to baby identity and applicable pre-birth contract; preserve supported exclusions separately from uncertain alternatives.
ref-03-05|unchanged||An independent salary of 40000/month is not erased by co-residence. The New India subsequent-renewal dependency rule remains the relevant support; no new candidate can establish acceptance or continuity for the son's separate cover.|Separate accepted offer, expiring member schedule and migration history.|Applicable conversion route and continuity allocation remain unverified.|Keep financial independence, address, current-term membership and next-renewal eligibility distinct.
ref-03-06|unchanged||The student's dependent status and domestic study location remain compatible facts, but no exact Delhi branch or selected zone option has been supplied. A national treatment territory cannot be promoted to cashless or accessible local care.|Exact policy/zone, named member and intended Delhi hospital branch.|Dated branch and selected-option network evidence remain absent.|Represent location for study, residence, treatment and pricing independently.
ref-03-07|partially_resolved|vital5,vital6|Health Vital's Family Floater definition expressly lists up to three dependent children, so the reported one-child maximum is not universal. It is only an alternative configuration; Leela's unidentified quote could still differ. Its adjacent Individual/Non-Floater heading and family-floater parent list conflict, so do not infer parent eligibility from that passage.|Exact quote identity, intended insured roster, baby birth and accepted addition.|Actual quote's child cap and newborn rules remain missing; Vital parent/floater conflict is retained.|Store count constraints by relationship and configuration, with conflicting scope assertions retained.
ref-03-08|unchanged|promise30,marvel18|Promise's inclusion rule starts the added child's waits at inclusion. Marvel Partner Protect expressly targets a newly married spouse and cannot be applied to Arun. No added original establishes inherited parent waiting credit for this four-year-old's planned surgery.|Child's exact schedule, prior cover, accepted waiver and diagnosis/treatment dates.|Actual product's child-addition, congenital/PED overlap and credit terms remain unresolved.|Credit-transfer rules must bind the permitted relationship and selected option; parent and child histories remain separate.
ref-03-09|unchanged||The new family definitions and newborn benefit grants do not establish a standalone child-only offer for this seven-year-old. An individual sum-insured basis is not proof that a parent need not also be insured. Preserve Leela solely as proposer/payer until the product rule and intended roster are established.|Guardian/proposer details, child-only configuration and actual quote.|A verified child-only configuration and guardian conditions remain missing.|Distinguish proposer age, insured age, ownership and membership requirements.
ref-03-10|unchanged||No newly reviewed clause changes New India's named age/financial-dependency renewal rule into an immediate marriage termination. Daughter's marriage date does not itself prove financial independence, cancellation or migration.|Issued terms, any change notice and later income/dependency facts.|Named product's marriage/change provisions and accepted renewal route remain unverified.|Use dated relationship events without silently deleting membership or resetting other people's clocks.
ref-04-01|partially_resolved|senior9|Prime Senior supplies a public room-category alternative with only room-tariff differential rather than proportional associated-expense reduction. This narrows a senior comparison dimension; the selected pages do not establish the mother's age/health acceptance or a 25000 premium. Keep mother 70 distinct from buyer 35.|Mother's medical disclosures, age-qualified offers, selected room option and all-in quotes.|Complete senior eligibility and underwriting bundles across candidates remain incomplete.|Track insurer room rules and accepted senior eligibility as separate prerequisites to affordability.
ref-04-02|partially_resolved|senior9|Prime Senior's room clause supports comparing single-private-AC entitlement and tariff differential without proportionate associated-expense reduction. It does not establish diabetes acceptance, employer-to-retail migration, or October commencement. Father's 20000 cash is not enough information to fund a private-room admission.|Employer member termination evidence, master terms, father-specific offer/credits, room tariff and bill.|Complete migration eligibility and selected room/option/cost-share conditions remain missing.|A room-category advantage must not bypass continuity, acceptance or immediate cash constraints.
ref-04-03|unchanged||The unspecified product still has no authentic maximum-entry rule or reference event. Newly located senior products do not authenticate this salesperson's reported 70-year maximum; retain age 70 on the proposed start and 69 at quote submission without choosing the easier event.|Actual product/UIN, DOB evidence, insurer age convention and accepted offer.|Original maximum-entry bound and event for this offer remain absent.|Require explicit date-of-age measurement and inclusive operator for each eligibility predicate.
ref-04-04|unchanged||No new public clause authenticates the broker's 30 percent co-pay capped at 10000 per claim. Preserve the user's requested hypothetical minimum calculation and 15000 liquidity comparison; do not replace the cap with a different insurer's standard co-pay.|Actual insurer offer, cap wording, accepted terms and other deductions.|The reported private cap remains unverified; no public wording establishes its owner-specific applicability.|Represent a cap on the deduction itself with provenance and per-claim scope, separate from a benefit cap.
ref-04-05|partially_resolved|opd3,opd4|Galaxy Smart Outpatient Diamond supplies a possible prescribed-pharmacy branch with prescription timing, limits and PED waits; it is not full routine cardiac OPD cover. Its cashless-only pharmacy grant conflicts with reimbursement clauses. Retain 60000/year as expected spend, not reimbursement, and do not replace New India's OPD exclusion.|Father's prescriptions, selected base/rider, both parents' acceptance, provider and quote.|Cardiac consultation/service eligibility, pharmacy conflict and actual selected limits require resolution.|Compare recurring service categories, rider membership, access mode and shared/individual limits independently.
ref-04-06|unchanged||Completed tests remain evidence of screening only. No expanded public product text supplies the missing underwriting decision or converts the proposed 15 September start into in-force cover.|Insurer decision, accepted schedule, payment and effective dates.|Exact selected underwriting/issue conditions remain unknown.|Keep laboratory completion, offer, acceptance and policy issuance as distinct events.
ref-04-07|unchanged||The website's closed-sales statement still cannot identify the father's withdrawal notice or historical renewal rights. Newly preserved withdrawn-product examples support retaining editions but do not prove his unnamed old policy or its renewal offer.|Old issued product/UIN, insurer withdrawal notice and actual renewal/migration offer.|Exact withdrawal chronology and governing old/new terms remain missing.|Version sales status independently of existing contract continuation and renewal routes.
ref-04-08|unchanged||The mother will not change hospitals, so her branch is a hard comparison condition. Newly read product networks cannot identify the unnamed restricted option or determine whether an outside branch is reimbursable, penalized or expressly excluded.|Selected option, branch identity, dated network/excluded status and personal offer.|Exact restricted-network consequences and emergency exceptions remain missing.|Require both public option conditions and dated branch observations before suitability.
